lat,lon
44.482911, 11.376288
44.482911, 11.376288
44.481450, 11.380238
44.495980, 11.352510
44.49529617524211,11.355046033859253
44.494423730765256,11.345154047012329
44.493718713344904,11.341353840762167
44.49800154286042,11.330929543473758
44.498858628816905,11.3283975381637
44.48401089406933,11.372986583446618
44.485021272342465,11.370883731578942
44.48560299721478,11.369381694530603
44.48621533291853,11.367622165416833
44.48682766242804,11.365819720958825
44.487531833149006,11.364103107189294
44.48811353333538,11.363073138927575
44.48881768771565,11.360584048961755
44.489429989556605,11.35869577381527
44.48998105645053,11.357708723517135
44.49135869859289,11.357408313488122
44.49407075828794,11.357039398426423
44.49408606453654,11.35618109285133
44.494063105162155,11.355558819050202
44.494078411412765,11.354915088886628
44.49410902390189,11.354153341526398
44.494082702865605,11.353800390061224
44.49412096847171,11.353542897340958
44.49413244814863,11.353210304077948
44.49452275581974,11.353349778946722
44.49476765365037,11.3533819654549
44.494813571368255,11.35316202431568
44.49485948951707,11.352722142037237
44.49491688738578,11.352464649971807
44.495058467977614,11.352244708832586
44.49529571059449,11.352019403275335
44.4955214726114,11.351756545482203
44.4957319274746,11.35159561294131
44.49585437386272,11.351204010425135
44.49608825168625,11.350942254066467
44.49620257937371,11.350742670474574
44.49632502524064,11.350871417816961
44.49645512272914,11.35111281531863
44.496569914801874,11.351413222728297
44.49671531776957,11.351820919808233
44.496849241701945,11.352089140709722
44.49697933848798,11.35240564137348
44.497101782256756,11.352786515053594
44.49723953118928,11.353242490586126
44.49703290720137,11.353714559372747
44.496726796935796,11.354626509782975
44.496424511938685,11.35551163875789
44.49630971957973,11.355967614290421
44.49440749457336,11.349883265756944
44.49450698459031,11.348263211839367
44.494468719343345,11.347104497217515
44.49387177658858,11.346417851709703
44.49394065495439,11.345130391218845
44.49467535199394,11.343842930891697
44.4948207595544,11.342609114744846
44.49517279777164,11.340624280073826
44.495387080749126,11.33930463307479
44.49559371027703,11.338092274600058
44.495371775075576,11.33680481427291
44.49453759682893,11.336440033846884
44.49358095609526,11.336096711747814
44.493290134166266,11.335871405535727
44.49347381122602,11.334605402225861
44.49379524489289,11.332856602602988
44.4940171862695,11.331676429981599
44.49428504516902,11.330496258015046
44.49450698468154,11.329562849277863
44.4946217805893,11.328833288425812
44.49467535193557,11.327856965654064
44.494866677653754,11.327041574113537
44.494881983693446,11.32666606354178
44.495004432041426,11.325614637607941
44.49509626794393,11.324584670655895